ACCESSION,NAME
MIMAT0022491,hsa-miR-5698
MIMAT0023712,hsa-miR-6087
MIMAT0010195,hsa-let-7a-2-3p
MIMAT0000100,hsa-miR-29b-3p
MIMAT0009198,hsa-miR-224-3p
MIMAT0004584,hsa-let-7g-3p
MIMAT0004585,hsa-let-7i-3p
MIMAT0004586,hsa-miR-15b-3p
MIMAT0004589,hsa-miR-30b-3p
MIMAT0004592,hsa-miR-125b-1-3p
MIMAT0004597,hsa-miR-140-3p
MIMAT0001618,hsa-miR-191-3p
MIMAT0004671,hsa-miR-194-3p
MIMAT0004672,hsa-miR-106b-3p
MIMAT0004674,hsa-miR-30c-1-3p
MIMAT0004676,hsa-miR-34b-3p
MIMAT0004677,hsa-miR-34c-3p
MIMAT0004682,hsa-miR-361-3p
MIMAT0004683,hsa-miR-362-3p
MIMAT0004688,hsa-miR-374a-3p
MIMAT0000750,hsa-miR-340-3p
MIMAT0000751,hsa-miR-330-3p
MIMAT0000752,hsa-miR-328-3p
MIMAT0000753,hsa-miR-342-3p
MIMAT0000754,hsa-miR-337-3p
MIMAT0000755,hsa-miR-323a-3p
MIMAT0000757,hsa-miR-151a-3p
MIMAT0000759,hsa-miR-148b-3p
MIMAT0001340,hsa-miR-423-3p
MIMAT0001343,hsa-miR-425-3p
MIMAT0001627,hsa-miR-433-3p
MIMAT0002880,hsa-miR-508-3p
MIMAT0002881,hsa-miR-509-3p
MIMAT0002883,hsa-miR-514a-3p
MIMAT0003254,hsa-miR-548b-3p
MIMAT0003256,hsa-miR-589-3p
MIMAT0003257,hsa-miR-550a-3p
MIMAT0003298,hsa-miR-629-3p
MIMAT0003879,hsa-miR-758-3p
MIMAT0003888,hsa-miR-766-3p
MIMAT0004911,hsa-miR-874-3p
MIMAT0004921,hsa-miR-889-3p
MIMAT0004927,hsa-miR-708-3p
MIMAT0005949,hsa-miR-664a-3p
MIMAT0005950,hsa-miR-1306-3p
MIMAT0005951,hsa-miR-1307-3p
MIMAT0015050,hsa-miR-323b-3p
MIMAT0017950,hsa-miR-2355-3p
MIMAT0027032,hsa-miR-500b-3p
MIMAT0017982,hsa-miR-3605-3p
MIMAT0017985,hsa-miR-3607-3p
MIMAT0017993,hsa-miR-3614-3p
MIMAT0019812,hsa-miR-4709-3p
MIMAT0019814,hsa-miR-203b-3p
MIMAT0019927,hsa-miR-4772-3p
MIMAT0025845,hsa-miR-6716-3p
MIMAT0025848,hsa-miR-6511b-3p
MIMAT0027577,hsa-miR-6837-3p
